Tabelle;Spalte;Datentyp;Info_Kategorie;Info_Typ;Beschreibung;Such_Tag;Join_FK;NL_Hinweis
stammdatenindustrie;gl_produkt2;str;Sortiment_Produkte;Freitext;Wichtigstes Produkt 2;[SUCH];;Top-Produkt-Suche
stammdatenindustrie;gl_produkt3;str;Sortiment_Produkte;Freitext;Wichtigstes Produkt 3;[SUCH];;Top-Produkt-Suche
stammdatenindustrie;topprodukte;str;Sortiment_Produkte;Freitext;Zusammenfassung des Angebots / Top-Produkte mit Markennennung;[SUCH];;Bevorzugtes Feld fuer 'Top-Produkte von Firma X'
stammdatenindustrie;APlicht;str;Sortiment_Produkte;Kategorietext;Apothekenpflicht im Sortiment (ja/nein/anteilig);[FILTER];;Kategorischer Filter
stammdatenindustrie;sortiment;str;Sortiment_Produkte;Freitext;Sortimentsschwerpunkt / Sortimentsbeschreibung;[SUCH];;'Welches Sortiment hat Firma X?'
stammdatenindustrie;sortimentsstruktur;str;Sortiment_Produkte;Freitext;Struktur des Sortiments nach Anteilen;[AUSGABE];;Ausgabefeld Sortimentsanalyse und Zugehörigkeit zu welchen Sortimentsteilen
stammdatenindustrie;markenstruktur;str;Sortiment_Produkte;Freitext;Markenanteile im Sortiment (z.B. Aspirin-Anteil);[AUSGABE];;Ausgabe Markenstruktur und  Zugehörigkeit zu welchen Sortimentsteilen
stammdatenindustrie;hauptgruppe;str;Sortiment_Produkte;Kategorietext;Hauptsortimentsgruppe in der die Firma taetig ist;[SUCH];;LIKE-Suche Sortimentsbereich
stammdatenindustrie;ugruppe;str;Sortiment_Produkte;Kategorietext;Untergruppe im Sortiment, in welcher Waren- oder Untergruppe ist die Firma tätig (z. B. Hautpflege);[SUCH];;LIKE-Suche
stammdatenindustrie;zugehoerigkeit;str;Sortiment_Produkte;Freitext;Sortimentsbereiche in denen die Firma praesent ist;[SUCH];;"Mehrere Bereiche moeglich; LIKE"
stammdatenindustrie;narrativ;str;Strategie_Narrativ;Freitext;Strategisches Narrativ / Marktpositionierung der Firma in Prosa;[SUCH];;'Was ist das Narrativ von Firma X?' – LIKE oder SELECT Ausgabe
stammdatenindustrie;purpose;str;Strategie_Narrativ;Freitext;Daseinszweck / Purpose der Firma;[SUCH];;Strategiefragen (wer ist denn in der Entwicklung tätig)
stammdatenindustrie;begruendung;str;Strategie_Narrativ;Freitext;Begruendung der Marktposition / Einordnung;[AUSGABE];;Ausgabefeld Strategie
stammdatenindustrie;trigger_events;str;Strategie_Narrativ;Freitext;Geplante Veraenderungen, Trigger, Entwicklungen (Freitext, nicht crm_firmen_trigger_historie);[SUCH];;"Fuer Trigger in Stammdaten; strukturierte Historie: crm_firmen_trigger_historie"
stammdatenindustrie;entscheider;str;Strategie_Narrativ;Freitext;Entscheider-Namen als Freitext (ohne JOIN zu crm_personen);[AUSGABE];;Fuer konkrete Kontakte crm_personen nutzen
stammdatenindustrie;ambition;str;Strategie_Narrativ;Freitext;Unternehmensambition / Was will die Firma erreichen;[AUSGABE];;Strategie-Ausgabe
stammdatenindustrie;zielsetzung;str;Strategie_Narrativ;Freitext;Mittelfristige Zielsetzung;[AUSGABE];;Strategie-Ausgabe
stammdatenindustrie;unsub;bool;Metadaten;Boolean;Abmeldung / Opt-out Flag;[FILTER];;unsub = False oder 0 fuer aktive Firmen
stammdatenindustrie;aktuelle_haupt_url;str;Kontakt;URL;Aktuelle Haupt-Website (verifiziert);[AUSGABE];;Bevorzugt gegenueber internetadresse wenn befuellt
stammdatenindustrie;veredelung_status;str;Veredelung_Scoring;Status;Status der Datensatz-Veredelung (Anreicherung);[FILTER];;Internes Qualitaets-/Workflow-Feld
stammdatenindustrie;veredelung_methode;str;Veredelung_Scoring;Kategorietext;Methode der Veredelung (z.B. KI, manuell);[INTERN];;Workflow-Metadatum
stammdatenindustrie;veredelung_score;str;Veredelung_Scoring;Kategorietext;Qualitaetsscore nach Veredelung;[FILTER];;Filter/Ranking nach Datenqualitaet
stammdatenindustrie;d2p_score;str;Veredelung_Scoring;Kategorietext;Direct-to-Pharmacy Score / Eignung D2P-Kanal;[FILTER];;'Firmen mit hohem D2P-Score' – Filter oder ORDER BY
stammdatenindustrie;d2p_begruendung;str;Veredelung_Scoring;Freitext;Begruendung des D2P-Scores;[AUSGABE];;Ausgabe bei D2P-Fragen
stammdatenindustrie;gefundene_personen;str;Veredelung_Scoring;Freitext;Automatisch gefundene Personen (Freitext, Apollo/KI);[AUSGABE];;Fuer strukturierte Personen: crm_personen JOIN
stammdatenindustrie;top_produkte;str;Sortiment_Produkte;Freitext;Top-Produkte (alternatives/angereichertes Feld zu topprodukte);[SUCH];;topprodukte ODER top_produkte pruefen
stammdatenindustrie;apotheken_fokus;str;Marktsegment;Kategorietext;Apotheken-Fokus (Reserviert, in DB praktisch leer);[LEER];;NICHT filtern – stattdessen Marktzielgruppe/emarktzielgruppe LIKE '%Apothek%'
stammdatenindustrie;funktion_pruefung;str;Veredelung_Scoring;Status;Pruefstatus Marktfunktion;[INTERN];;Qualitaetspruefung intern
stammdatenindustrie;marktzielgruppe_pruefung;str;Veredelung_Scoring;Status;Pruefstatus Marktzielgruppe;[INTERN];;Qualitaetspruefung intern
stammdatenindustrie;kategorie_pruefung;str;Veredelung_Scoring;Status;Pruefstatus Kategorie;[INTERN];;Qualitaetspruefung intern
stammdatenindustrie;gl_email;str;GL_Stamm;Kategorietext;E-Mail aus Gelber-Liste-Stamm;[AUSGABE];;"GL = Gelbe Liste Import; alternative Kontaktquelle"
stammdatenindustrie;gl_fax;str;GL_Stamm;Kategorietext;Fax aus Gelber-Liste-Stamm;[AUSGABE];;GL-Kontaktfeld
stammdatenindustrie;gl_firma;str;GL_Stamm;Kategorietext;Firmenname aus Gelber-Liste-Stamm;[AUSGABE];;Vergleich mit nama moeglich
stammdatenindustrie;gl_hausnr;str;GL_Stamm;Kategorietext;Hausnummer GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_kundennumm;str;GL_Stamm;FK;Kundennummer Verweis GL-Stamm (ggf. Mutterfirma);[FK];stammdatenindustrie.kundennumm;Optional JOIN auf verwandte Firma
stammdatenindustrie;gl_lnderkennzeichen;str;GL_Stamm;Kategorietext;Laenderkennzeichen GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_ort;str;GL_Stamm;Kategorietext;Ort GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_plz;str;GL_Stamm;Kategorietext;PLZ GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_plz_ort;str;GL_Stamm;Kategorietext;PLZ und Ort kombiniert GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_strasse;str;GL_Stamm;Kategorietext;Strasse GL-Stamm;[AUSGABE];;GL-Adressfeld
stammdatenindustrie;gl_telefon;str;GL_Stamm;Kategorietext;Telefon GL-Stamm;[AUSGABE];;GL-Kontaktfeld
stammdatenindustrie;gl_web;str;GL_Stamm;URL;Webseite GL-Stamm;[AUSGABE];;GL-Kontaktfeld
stammdatenindustrie;linkedin_url_quelle;str;LinkedIn;Kategorietext;Quelle der LinkedIn-URL (z.B. Apollo, manuell);[INTERN];;Metadatum
stammdatenindustrie;linkedin_url_geprueft_am;datetime;LinkedIn;Datum;Datum der LinkedIn-URL-Pruefung;[INTERN];;Metadatum
stammdatenindustrie;linkedin_url_notiz;str;LinkedIn;Freitext;Notiz zur LinkedIn-URL;[INTERN];;Metadatum
stammdatenindustrie;apollo_search_status;str;Apollo_Intern;Status;Status Apollo-Firmensuche;[INTERN];;Nur fuer interne Recherche-Workflows
stammdatenindustrie;apollo_search_lauf_id;str;Apollo_Intern;Kategorietext;Lauf-ID Apollo-Suche;[INTERN];;Workflow-Metadatum
stammdatenindustrie;apollo_search_geplant_am;datetime;Apollo_Intern;Datum;Geplantes Datum Apollo-Suche;[INTERN];;Workflow-Metadatum
stammdatenindustrie;apollo_search_ausgefuehrt_am;datetime;Apollo_Intern;Datum;Ausfuehrungsdatum Apollo-Suche;[INTERN];;Workflow-Metadatum
stammdatenindustrie;apollo_search_treffer;int;Apollo_Intern;Kennzahl;Anzahl Apollo-Treffer;[INTERN];;Workflow-Metadatum
stammdatenindustrie;apollo_search_domain;str;Apollo_Intern;Kategorietext;Gefundene Domain via Apollo;[INTERN];;Workflow-Metadatum
stammdatenindustrie;apollo_search_fehler;str;Apollo_Intern;Freitext;Fehlermeldung Apollo-Suche;[INTERN];;Workflow-Metadatum
