Ursprungspfad;Vorgeschlagener_Wiki_Ordner;;
C:\Brandvoice\Brandvoice\Zusammenfassung Narrativ.txt;Marketing;;
C:\Brandvoice\Brandvoice\Download\1_Promis.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\2_Projekt Baufeldt.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\3_Projekt CM++.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\4_Projekt Sichtwahl.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\5_Projekt Datamining.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\6_Projekt BaufeldtCRM.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\7_Projekt Marketing I.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\8_Projekt Marketing II.docx;Projekte;;
C:\Brandvoice\Brandvoice\Download\Deckblatt Apothekentypen.docx;Wissen_Branche;;
C:\Brandvoice\Brandvoice\Download\Kurzfassung Berufserfahrung.docx;HR;;
C:\Brandvoice\Brandvoice\Download\Langfassung Berufserfahrung.docx;HR;;
C:\Brandvoice\Brandvoice\Download\Planogramm FS2010.pdf;Produkte_Services;;
C:\Brandvoice\Brandvoice\Download\Unternehmensinhaber_linkedin.docx;Marketing;;
C:\Brandvoice\Brandvoice\Download\Warum_MSV3_fuer_die_Industrie_neu.docx;Produkte_Services;;
C:\Brandvoice\Brandvoice\Upload\Beschreibung Apothekentypen.docx;Wissen_Branche;;
C:\Brandvoice\Brandvoice\Upload\Projekte.docx;Projekte;;
C:\Brandvoice\Sonstiges\Auszug Bellartz Aposcope.docx;Wissen_Branche;;
C:\Brandvoice\Sonstiges\Bus case GH Rechnung Transparenz der Einkaufsvorteile.doc;Finanzen;;
C:\Brandvoice\Sonstiges\DAP DirektBestellPool.docx;Produkte_Services;;
C:\Brandvoice\Sonstiges\Data_Mining.doc;Projekte;;
C:\Brandvoice\Sonstiges\DigiBest Broschürentest überarbeitet.docx;Marketing;;
C:\Brandvoice\Sonstiges\Digitalisierung in Apotheken.docx;Wissen_Branche;;
C:\Brandvoice\Sonstiges\DIY Markenbildung.doc;Marketing;;
C:\Brandvoice\Sonstiges\Klassifizierungskonzept pharmazeutische Hersteller.docx;Wissen_Branche;;
C:\Brandvoice\Sonstiges\Software Erstellungsvertrag.docx;Rechtliches;;
C:\Brandvoice\Sonstiges\Support- und Update-Vertrag V2 (003).docx;Rechtliches;;
C:\Brandvoice\Sonstiges\Themen für Kurzclips.doc;Marketing;;
C:\Brandvoice\Sonstiges\Universalbericht.docx;Projekte;;
C:\Brandvoice\Sonstiges\Wenn Firmen plötzlich verschwinden.docx;Allgemeines;;
C:\Brandvoice\Sonstiges\Werbung mit Newsletter und Fax.docx;Marketing;;
C:\Brandvoice\Sonstiges\Wie es war.doc;Allgemeines;;
C:\CodexProjekte\FirmenApp\Digibest_Master.accdb;IT;;
C:\CodexProjekte\FirmenApp\Digibest_Master_before_apollo_autorun_20260528_121226.accdb;IT;;
C:\CodexProjekte\FirmenApp\Digibest_Master_before_apollo_bulk_classes_20260528_103504.accdb;IT;;
C:\CodexProjekte\FirmenApp\Digibest_Master_before_apollo_class_run_20260528_102137.accdb;IT;;
C:\CodexProjekte\FirmenApp\Digibest_Master_before_apollo_company_flags_20260528_101244.accdb;IT;;
C:\CodexProjekte\FirmenApp\DigiBest_Master_before_invitation_prefix_fix_20260521_141103.accdb;IT;;
C:\CodexProjekte\FirmenApp\DigiBest_Master_before_linkedin_update_20260521_140640.accdb;IT;;
C:\CodexProjekte\FirmenApp\app\ui\funktion.xlsx;IT;;
C:\CodexProjekte\FirmenApp\Live\DigiBest_Master_target_person.accdb;IT;;
C:\CodexProjekte\FirmenApp\Live\DigiBest_Master_test_copy_apify.accdb;IT;;
C:\CodexProjekte\FirmenApp\Live\README.md;IT;;
C:\CodexProjekte\FirmenApp\Live\requirements.txt;IT;;
C:\CodexProjekte\FirmenApp\Live\UPDATE_HINWEIS.txt;IT;;
C:\CodexProjekte\FirmenApp\Live\VERSION.txt;IT;;
C:\CodexProjekte\FirmenApp\Live\app\services\Matching_Vorschlaege.xlsx;IT;;
C:\CodexProjekte\FirmenApp\Live\app\ui\GelbeListe.xlsx;IT;;
C:\CodexProjekte\FirmenApp\Projekt\Befehle.docx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\BefehleGithub.docx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\Beifang.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\GelbeListe.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\Masterstruktur.xlsx;IT;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\Synonyme.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\SynonymeAdresse.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Arbeitsdaten\Synonyme_Verbund.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_0854.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_0937.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_0949.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_0952.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_1007.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_1031.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_1037.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_1119.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\CumulativeMerge_Result_1121.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1023.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1103.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1111.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1139.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1141.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1218.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1222.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1256.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1305.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1309.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1339.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1350.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1355.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1359.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1420.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1421.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1424.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1431.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1436.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1453.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1508.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_1527.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2152.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2213.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2240.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2255.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2306.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\DataMerge_Result_2350.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\P1.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Personen.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\SitzungsLog_1024.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\SitzungsLog_1230.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelt_Stammdaten_105217.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_0814.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_1024.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_1032.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_1344.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_1451.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v4.3_CRM_1755.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v5.11_CRM_1025.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v5.11_CRM_2239.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v5.11_CRM_2253.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v5.11_CRM_2304.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Veredelung_v5.11_CRM_2310.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.5_1419.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.5_1533.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.6_1511.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.6_1516.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.6_1556.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.8_0936.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.8_1651.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.9_1046.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v1.9_1134.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.0_KI_1358.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.0_KI_1402.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.0_KI_1432.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.1_KI_1605.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.1_KI_1621.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.1_KI_1651.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.2_Apollo_0851.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.2_Apollo_0856.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.2_Apollo_0914.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.3_Dork_1007.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v2.3_Dork_1103.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.1_CRM_1144.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.1_CRM_1159.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.2_CRM_1231.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.3_CRM_1354.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.4.1_CRM_1741.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.4.1_CRM_1742.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.4.1_CRM_1744.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.4_CRM_1540.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.5_CRM_1749.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.6_CRM_1809.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.6_CRM_1847.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v3.6_CRM_2022.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.0_CRM_2141.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1029.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1039.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1040.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1046.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1056.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1058.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1110.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1138.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1146.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1150.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1200.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1211.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1228.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1247.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1303.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1515.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1720.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1734.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_1914.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2053.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2109.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2150.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2202.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2205.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2209.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\Bearbeitet\Veredelung_v4.3_CRM_2211.xlsx;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000000_89150 Laichingen.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000000_ALIUD_PHARMA_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000001_83607 Holzkirchen.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000001_Hexal_AG.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000002_1 A Pharma GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000002_1_A_Pharma_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000003_ratiopharm_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000004_STADAPHARM_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000005_Hemopharm GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000005_Hemopharm_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000006_Dr. Gerhard Mann Chem.-pharm. Fabrik GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000006_Dr. Gerhard Mann.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000006_Dr._Gerhard_Mann_Chem.-pharm._Fabrik_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000007_PAUL HARTMANN AG.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000007_PAUL_HARTMANN_AG.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000008_Sanofi-Aventis Deutschland GmbH GB Selbstmedikation Consumer-Care.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000008_Sanofi-Aventis Deutschland GmbH GB Selbstmedikation GB Selbstmedikation Consumer-Care.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000008_Sanofi-Aventis Deutschland GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000008_Sanofi-Aventis_Deutschland_GmbH_GB_Selbstmedikation_Consumer-Care.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000009_Johnson_&_Johnson_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000011_Oncotec_Pharma_Produktion_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000012_Virbac Tierarzneimittel Virbac Tierarzneimittel Virbac Tierarzneimittel GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000012_Virbac Tierarzneimittel.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000012_Virbac_Tierarzneimittel_Virbac_Tierarzneimittel_Virbac_Tierarzneimittel_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000013_Chromsystems Instruments + Chemicals GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000013_Chromsystems_Instruments_+_Chemicals_GmbH.md;Projekte;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50000014_PharmaSGP Holding SE.md;Projekte;;
